2016/02/10           Regional Medical Associates - Hamilton            PAGE   1

  Doc  Comp     Amt Net
  92A  ABE       7950.17
  92E  ABE       1447.39
  94K  ABE       1432.73
  95E  ABE        165.95
  965  ABE       2635.73
  966  ABE       1742.84
  96J  ABE       5103.23
  97E  ABE       6235.27
  C64  ABE        455.00
  C79  ABE       4230.54
  D69  ABE       5181.83
  E77  ABE       1746.00
  F07  ABE       2085.00
  F52  ABE      11833.44
  F80  ABE       2219.12
  F81  ABE       9303.72
  G27  ABE       1570.00
  G31  ABE        200.00
  G38  ABE        295.25
  G40  ABE        847.50
  G44  ABE       2070.00
  G52  ABE        300.00
  G74  ABE       4335.00
  H17  ABE       1537.49
  H19  ABE       2435.00
  H48  ABE       5284.96
  H49  ABE       3289.91
  H55  ABE        996.00
  H56  ABE       3690.59
  H59  ABE       3062.17
  H79  ABE        803.20
  H82  ABE       6102.00
  H90  ABE       1436.32
  H91  ABE       1570.00
  J26  ABE       3277.00
  J84  ABE       1302.25
  J89  ABE       1570.00
  K16  ABE       2837.91
  K17  ABE       3298.90
  K30  ABE       3377.59
  K35  ABE        150.00
  K41  ABE       6561.43
  K87  ABE       1174.05
  L48  ABE       4478.59
  L63  ABE        182.47
  L76  ABE       2003.10
  L83  ABE        745.39
  L90  ABE       3189.48
  L98  ABE       3314.18
  M16  ABE       1970.00
  M17  ABE      11711.59
  M23  ABE       6582.46
  M42  ABE        920.93
  M70  ABE        865.00
  M71  ABE       3234.35
  N13  ABE       3371.90
  N43  ABE       1173.15
  N71  ABE       3734.95
  N85  ABE       2917.23
  N89  ABE        858.27
  P12  ABE       6599.02
  P18  ABE       2623.00
  P19  ABE       4205.00
  P59  ABE      10016.36
  R42  ABE       1450.22
  R66  ABE       2833.72
  R85  ABE       2448.03
  R98  ABE       2291.00
  T30  ABE       1749.75
  T68  ABE       6013.49
  T99  ABE       1858.85
  V21  ABE       2425.00
  V28  ABE        452.00
  V31  ABE       1570.00
  V63  ABE       1819.83
  V87  ABE       1570.00
  W16  ABE       1458.25
  W31  ABE       4378.00
  W39  ABE       1700.25
  W60  ABE       1570.00
  W64  ABE        300.00
  W72  ABE        297.03
  W85  ABE       3176.69
  W95  ABE       2242.35
  X23  ABE        993.65
  X24  ABE       1570.00
  X28  ABE       1570.00
  X70  ABE        295.00
  Y01  ABE       5928.75
  Y09  ABE       3800.97
  Y10  ABE        875.81
  Y21  ABE       1050.61
  Y22  ABE       1570.00
  Y37  ABE       4089.71
  Y44  ABE       3600.46
  Y48  ABE       5122.28
  Y50  ABE       2527.33
  Y52  ABE        600.00
  Y91  ABE       4176.49
