2001/01/18           regional medical associates - hamilton            PAGE   1

    Loc     Loc Name
       0    HOME/OUT-PT WINGHAM
       0    HOME/OUT-PT. TIMMINS
       0    HOME/ALL OUT-PTS. MISSIS
       0    ADJUSTMENTS
       0    HOME/OUT-PT. PARIS
   1,006    BRANTFORD GENERAL HOSPIT
   1,006    BRANTFORD GENERAL HOSPI
   1,020    WILLETT HOSPITAL PARIS
   1,145    GRANDVIEW LODGE
   1,146    HALDIMAND WAR MEMORIAL H
   1,149    WEST HALDIMAND HAGERSVIL
   1,160    JOSEPH BRANT HOSPITAL
   1,172    OAKVILLE TRAFAL MEMORIAL
   1,217    WINGHAM DISTRICT HOSPITA
   1,339    SUNNYBROOK OUT PATIENT
   1,339    SUNNYBROOK HOSPITAL
   1,406    TORONTO SICK KIDS
   1,423    MT SINAI HOSPITAL TORO
   1,428    ORTHO./ARTHR HOSP. TOROR
   1,444    ST MICHAELS HOSPITAL
   1,459    WELLESLEY HOSP. TORONTO
   1,502    VICTORIA HOSPITAL
   1,536    KILLION LODGE NURSING H
   1,538    WEST LINCOLN MEMORIAL
   1,542    GREATER NIAGARA
   1,546    EVENTIDE NURS. HOME NIA
   1,557    HOTEL DIEU HOSP. ST.CAT
   1,570    ST. CATH. GENERAL E.R.
   1,570    ST. CATHARINES GENERAL
   1,591    NORFOLK GENERAL, SIMCOE
   1,825    ROYAL VICOTRIA HOS BARRY
   1,905    CAMBRIDGE MEMORIAL HOSP
   1,912    FREEPORT HOSP. KITCHENER
   1,966    ST. JOSEPH'S VILLA
   1,967    WENTWORTH LODGE
   1,968    STONEY CREEK LIFE CAREC
   1,968    STONEY CREEK LIFE CARE
   1,969    VERSA-CARE CENTRE
   1,970    WARD 21
   1,970    WARD 25
   1,970    WARD 1
   1,970    WARD 2
   1,972    OSLER BUILDING CHEDOKE
   1,972    SPORTS MEDICINE CLINIC
   1,972    CHEDOKE EMERGENCY
   1,972    CHED IN-PATIENTS
   1,972    HOLBROOK DAY WARD 25
   1,972    CHED REHAB IN-PATIENTS
   1,972    MEDICAL GERIATRICS
   1,972    CLINICAL FELLOW
   1,972    CHED OPERATING ROOM
   1,972    CHEDOKE I.C.U - C.C.U
   1,972    CHED DIAGNOSTICS
   1,982    HGH EMERGENCY ROOM
   1,982    LIPID CLINIC/DR. FLATHER
   1,982    PIP NURSE CLINICIAN
   1,982    HGH IN-PATIENTS
   1,982    NALLIATIVE CARE
   1,982    CLIN.FELLOW/DR STRONACH
   1,982    DISC'D IND. VENTRI. ARR
   1,982    C.F. ANAE/DR. NANADAGOPA
   1,982    HGH OPERATING ROOM
   1,982    CLINICAL FELLOW - FAYAD
   1,982    HGH I.C.U.
   1,982    C.F. DR. HASHEM ANAESTH
   1,982    CLINICAL FELL/MULCASTER
   1,982    C.F. DR. JOKHIO ANAESTH
   1,982    HGH DIAGNOSTICS
   1,982    CLINICAL FELLOW/STRONACH
   1,982    C.F. ANAE/DR. NANDAGOPA
   1,983    HENDERSON E.R.
   1,983    HEND OBS &.GYN CLINIC
   1,983    HEND IN-PATIENTS
   1,983    HENDERSON DAY HOSPITAL
   1,983    PALLIATIVE CARE
   1,983    PIP 46 PHYS MEDICINE REH
   1,983    HEND OPERATING ROOM
   1,983    HENDERSON  ICU - CCU
   1,983    C.F. DR. HASHEM, ANAEST
   1,983    CLINICAL FEL/MULCASTER
   1,983    HEND LABOUR & DELIVERY
   1,983    C.F. DR. JOKHIO, ANAEST
   1,983    NEONATAL ICU
   1,983    HEND DIAGNOSTICS
   1,987    HAM PSYCHIATRIC HOSP
   1,987    HAMILTON PSYCHIA. HOSP.
   1,990    IDLEWYLD NSNG HAMILTON
   1,992    MACASSA LODGE
   1,994    PIP OUT-PATIENT PSY
   1,994    PIP IN-PATIENT PSYCHIATR
   1,994    MUMC EMERGENCY ROOM
   1,994    E.R.ASSIST OTHER PHYSIC
   1,994    OCCUPAT. HEALTH/SPIROME
   1,994    PIP 45 GASTROENTEROLOGY
   1,994    BLOOD TRANSFUSIONS/FS
   1,994    OPHTHALM. TECHNICIAN
   1,994    DIABETIC DAY CARE
   1,994    P.I.P. PEDS.
   1,994    OPTIFAST PROGRAM PSYCHO
   1,994    MUMC PAIN CLINIC
   1,994    MIDWIFERY
   1,994    MUMC IN-PATIENTS
   1,994    PIP #47 ACUTE PAIN
   1,994    BONE MARROW IN-PT FS
   1,994    PALLIATIVE CARE
   1,994    MUMC PSY. IN-PATIENTS
   1,994    PIP 49 IN/OUT PATIENTS
   1,994    MUMC 4A NURSERY
   1,994    C.FELLOW/DR. STRONACH
   1,994    C.F.ANAE./DR.NANDAGOPAL
   1,994    MUMC OPERATING ROOM
   1,994    ASSIST DR. OG./KONTIO
   1,994    MUMC I.C.U.
   1,994    C.F. DR.HASHEM, ANAESTH
   1,994    C/FELLOW DR. MULCASTER
   1,994    MUMC LABOUR & DELIVERY
   1,994    C.F. DR. JOKHIO ANAEST
   1,994    MUMC NEONATAL
   1,994    LEVEL II NURSERY
   1,994    3C SOUTH PTS ONLY
   1,994    MUMC DIAGNOSTICS
   1,994    DIAGN. SERVICES OTHER
   1,994    SLEEP INVESTIGATION UNIT
   1,994    DOPPLER ULTRASOUND
   1,994    MUMC PED EXERCISE LAB
   1,994    ECG'S & DOPPLER DIAGNOST
   1,994    MUMC NUCLEAR MEDICINE
   1,994    CMH DIAG OUT-PATIENT
   2,001    ST ELIZABETH
   2,003    ST.JOES EMERG. ROOM
   2,003    ST.JOES E.P.T.
   2,003    P.I.P #36 ANXIETY DIS.
   2,003    PIP #41
   2,003    ST.JOES IN-PATIENTS
   2,003    ST.JOES PSY. IN-PAT.
   2,003    ST.JOES OPERATING ROOM
   2,003    ST.JOES I.C.U.
   2,003    ST.JOES LABOUR AND DELIV
   2,003    ST JOSEPH'S DIAGNOSTICS
   2,006    ST PETERS HOSPITAL
   2,191    MCKELLAR GEN. THUNDER B
   3,286    CREDIT VALLEY HOSPITAL
   3,291    HERITAGE GREEN STONEY C
   3,303    CLARION NURSING HOME
   3,309    SHAVER HOSPITAL
   3,361    MANITOULIN HEALTH CENTRE
   3,409    GRACE VILLA
   3,414    TIMMINS GEN. HOSPITAL
   3,414    DISTRICT GH TIMMINS
   3,417    SAL ARMY GRACE GEN HOSP
   3,446    PINE VILLA NSG HOME
   3,448    DEAR PARK VILA
   3,523    KRISTUS DARZS, WOODBRID
   3,619    SHALOM NURSING HOME/HAM
   3,642    WELLINGTON PLACE
   3,642    WELLINGTON NURSING HOME
   3,675    SHALOM MANOR NURSING HO
